Q(1): Ø§ÙØ³Ø¤Ø§Ù,Ø®ÙØ§Ø± 1,Ø®ÙØ§Ø± 2,Ø®ÙØ§Ø± 3,Ø®ÙØ§Ø± 4,Ø§ÙØ¥Ø¬Ø§Ø¨Ø©,Ø§ÙØªÙØ³ÙØ±,Ø±Ø§Ø¨Ø· Ø§ÙØµÙØ±Ø©,Ø§Ø³Ù Ø§ÙÙÙÙ,Detailed,Subject,Source
Q(1116): What is the most appropriate disinfectant for cleaning dental surfaces between patient appointments?,Alcohol,Chlorine bleach,Iodine-based solution,Hospital-grade disinfectant,Hospital-grade disinfectant,Hospital-grade disinfectants are recommended to clean dental surfaces as they effectively kill a wide range of pathogens.,,,,General Dentistry,
"Q(1121): What is the amount of adrenaline 1:100,000 in 2% Lidocaine?",0.01 mg,0.02 mg,0.018 mg,0.036 mg,0.018 mg,"The calculation for the amount of adrenaline is: (1/100,000) * 1000 * 1.8 = 0.018 mg.",,,,General Dentistry,
Q(1130): What is the recommended professional topical fluoride regimen for a high-caries-risk 6-year-old child?,5% sodium fluoride varnish every 3 months,5% sodium fluoride varnish once yearly,1.23% APF gel applied weekly at home,Professional fluoride is contraindicated,5% sodium fluoride varnish every 3 months,"High-caries-risk children receive 5% sodium fluoride varnish (22,600 ppm F) professionally every 3 months (AAPD). Yearly application is insufficient for high risk, and APF gel is not a weekly home product.",,,,Operative,
Q(1132): A 35-year-old man requires a local anesthetic injection for a routine dental procedure. The patient has a known allergy to ester-based local anesthetics. Which of the following local anesthetics are the safest?,Articaine or procaine,Bupivacaine or tetracaine,Lidocaine or mepivacaine,Prilocaine or procaine,Lidocaine or mepivacaine,Lidocaine and mepivacaine are amide-type anesthetics and are safer for patients with a known allergy to ester-based anesthetics.,,,,Oral Medicine,
Q(1139): A patient complains of dry mouth after starting new medication. Which drug class most commonly causes xerostomia?,Antibiotics,Antihypertensives,Antidepressants,NSAIDs,Antidepressants,Tricyclics and SSRIs have strong anticholinergic effects (80% incidence),,,,Oral Medicine,
Q(1141): Which of the following is a primary benefit of using ceramic restorations for anterior teeth?,Durability,Esthetics,Biocompatibility,Cost,Esthetics,"Ceramic restorations are highly esthetic, mimicking the natural translucency and color of teeth, making them ideal for anterior teeth.",,,,Operative,
Q(1159): What is the characteristic of Vander Woude Syndrome?,Cleft lip and palate,Lower lip pits,Hypodontia,All of the above,All of the above,"Vander Woude Syndrome includes cleft lip and palate, lower lip pits, and hypodontia.",,,,Pathology,
Q(1160): Parafunctional habit causing morning jaw pain?,Bruxism,Clenching,Thumb sucking,Tongue thrust,Bruxism,Grinding (vs. clenching) causes myofascial pain and tooth wear.,,,,General Dentistry,
Q(1165): Lateral occlusal forces during mandibular eccentric movements lead to non-restorable fractures of root-canal treated posterior teeth. Which occlusal parameter exposes posterior teeth to more lateral occlusal forces?,Group function,Shallow cuspal inclines,Canine-protected occlusion,Edge-to-edge occlusion,Group function,"Group function distributes occlusal forces to posterior teeth, making them more susceptible to fracture.",,,,General Dentistry,
Q(1170): Which of the following is the purpose of administering aspirin to a patient experiencing an angina attack?,To provide pain relief,To reduce inflammation,To inhibit platelet aggregation,To lower blood pressure immediately,To inhibit platelet aggregation,Aspirin is used during an angina attack to inhibit platelet aggregation and reduce the risk of clot formatio,,,,Oral Medicine,
Q(1176): What is the most appropriate treatment for a non-displaced nasal bone fracture?,Surgery,External nasal splint,Septoplasty,Ice therapy,External nasal splint,Non-displaced nasal fractures are treated conservatively with external nasal splinting.,,,,Oral Surgery,
Q(1179): Landmark for maxillary teeth position in dentures,Palatal rugae,Residual ridge,Incisive papilla,Incisive foramen,Incisive papilla,Key reference for anterior tooth positioning,,,"The incisive papilla is a stable landmark that does not change position as the ridge resorbs, unlike the crest of the ridge itself. The labial surfaces of the maxillary central incisors normally lie approximately 8 to 10 mm anterior to the centre of the papilla, and the canine tips lie on a line drawn through its centre.",Removable Prosthodontic,
"Q(1189): During clinical examination, the doctor asked the patient to show her teeth, close her eyes forcefully, and wrinkle her forehead. Which of the following nerves is being tested?",Facial,Abducent,Trigeminal,Oculomotor,Facial,The facial nerve controls expressions like wrinkling the forehead and closing the eyes.,,,,General Dentistry,
Q(1191): Minimum TB medication duration before dental treatment?,1 week,2 weeks,3 weeks,8 weeks,2 weeks,CDC: 2 weeks of effective therapy reduces infectivity by 90%.,,,,General Dentistry,
Q(1214): What is the appropriate ethical response if a dentist realizes they have made an error in a patient's treatment?,Ignore the error and continue with treatment,Inform the patient about the error and correct it promptly,Blame the patient for the mistake,Proceed with treatment without addressing the error,Inform the patient about the error and correct it promptly,Transparency and honesty with the patient are essential; informing the patient of any errors and taking steps to correct them is an ethical obligation.,,,,General Dentistry,
Q(1215): What is the main function of the dental dam in restorative dentistry?,Prevent contamination,Provide a dry working field,Improve esthetics,Protect soft tissues,Provide a dry working field,"A dental dam ensures a dry, isolated working field, preventing contamination and improving the effectiveness of the restoration.",,,,Operative,
Q(1244): Which of the following is not associated with cleft lip and palate?,Enamel hypoplasia,Missing teeth,Supernumerary teeth,None of the above,None of the above,"Enamel hypoplasia, missing teeth, and supernumerary teeth can all be associated with cleft lip and palate.",,,,Operative,
Q(1254): Parotid (Stensen’s) duct opens opposite which tooth?,Upper first molar,Lower first molar,Upper second molar,Lower second molar,Upper second molar,The papilla lies adjacent to the maxillary second molar.,,,,General Dentistry,
Q(1255): How should a dentist prevent contamination when handling used dental instruments during a procedure?,Use a second set of gloves,Use tongs to handle instruments,Place instruments directly on the patient's lap,Use a sterile tray to hold instruments,Use a sterile tray to hold instruments,Using a sterile tray to hold instruments minimizes contamination and helps keep them organized during procedures.,,,,General Dentistry,
"Q(1274): A patient reported waking up with muscular pain around the TMJ area. Her posterior teeth show signs of wear however, she is unaware of any parafunctional activities. Which of the following is the most probable diagnosis?",Bruxism,Clenching,Muscular spasm,TMJ disc displacement,Bruxism,Morning masticatory muscle pain combined with visible wear facets on the posterior teeth indicates nocturnal bruxism (grinding). Clenching produces muscle pain without the tooth wear; patients are typically unaware of either habit because it occurs during sleep.,,,,Oral Medicine,
